2022-12-06 15:42:13.786 | DEBUG    | __main__:post:85 - 2022-12-06 15:42:13 发起post请求:下单
2022-12-06 15:42:13.786 | DEBUG    | __main__:post:86 - 2022-12-06 15:42:13 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670312533786&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-06 15:42:16.227 | DEBUG    | __main__:post:89 - 2022-12-06 15:42:16 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '2827abd98d5b003e7b2c2e07a847b1ec', 'orderNo': 'TestOrderNo_1670312533786', 'tradeNo': '10012022120614421487000019', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7f4lri4d4oac5a1f0g', 'payCodeType': '1', 'expireTime': '2022-12-06 15:42:14'}
2022-12-06 15:56:47.956 | INFO     | __main__:<module>:25 - asd
2022-12-06 16:27:08.357 | DEBUG    | __main__:post:85 - 2022-12-06 16:27:08 发起post请求:下单
2022-12-06 16:27:08.357 | DEBUG    | __main__:post:86 - 2022-12-06 16:27:08 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670315228357&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-06 16:27:10.968 | DEBUG    | __main__:post:89 - 2022-12-06 16:27:10 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': 'd3114e8e36a383e63bf5eb33bc550d1d', 'orderNo': 'TestOrderNo_1670315228357', 'tradeNo': '10012022120615270963900013', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7fpngpvgtcs06rogq0', 'payCodeType': '1', 'expireTime': '2022-12-06 16:27:09'}
2022-12-06 16:44:08.287 | DEBUG    | __main__:post:85 - 2022-12-06 16:44:08 发起post请求:下单
2022-12-06 16:44:08.287 | DEBUG    | __main__:post:86 - 2022-12-06 16:44:08 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670316248288&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-06 16:44:10.901 | DEBUG    | __main__:post:89 - 2022-12-06 16:44:10 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': 'a955f0a68d3d77e71be7b65231a81c00', 'orderNo': 'TestOrderNo_1670316248288', 'tradeNo': '10012022120615440956900011', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7g1mgpvgtcs06roha0', 'payCodeType': '1', 'expireTime': '2022-12-06 16:44:09'}
2022-12-06 16:45:37.034 | DEBUG    | __main__:post:85 - 2022-12-06 16:45:37 发起post请求:xendit dana下单回调成功
2022-12-06 16:45:37.034 | DEBUG    | __main__:post:86 - 2022-12-06 16:45:37 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670316337035&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-06 16:45:39.420 | DEBUG    | __main__:post:89 - 2022-12-06 16:45:39 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': 'bcf982685d288c54df8ea97657ee8d3f', 'orderNo': 'TestOrderNo_1670316337035', 'tradeNo': '10012022120615453811700013', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7g2cji4d4oac5a1ie0', 'payCodeType': '1', 'expireTime': '2022-12-06 16:45:38'}
2022-12-06 17:40:00.141 | INFO     | __main__:<module>:35 - abc
2022-12-06 17:40:00.142 | INFO     | __main__:<module>:36 - def
2022-12-06 17:41:26.160 | DEBUG    | __main__:post:85 - 2022-12-06 17:41:26 发起post请求:模拟xendit dana下单回调成功
2022-12-06 17:41:26.160 | DEBUG    | __main__:post:86 - 2022-12-06 17:41:26 请求时的入参: /pay/createOrderamount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1670319686161&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&
2022-12-06 17:41:28.806 | DEBUG    | __main__:post:89 - 2022-12-06 17:41:28 接口返回值: {'code': '200', 'msg': 'SUCCESS', 'sign': '8077da67e52399d25ab2d47b4cdc92de', 'orderNo': 'TestOrderNo_1670319686161', 'tradeNo': '10012022120616412745400016', 'payCode': 'https://ewallet-mock-connector.xendit.co/v1/ewallet_connector/checkouts?token=ce7gsi3i4d4oac5a1lq0', 'payCodeType': '1', 'expireTime': '2022-12-06 17:41:27'}
