2024-02-29 12:00:14.383 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:00:14 发起post请求:模拟xendit dana下单回调成功
2024-02-29 12:00:14.384 | DEBUG    | __main__:post_request:53 - 2024-02-29 12:00:14 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709179214380&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=c24f1d83d5d021707b409e93bddecce0
2024-02-29 12:00:14.406 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709179214380&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=c24f1d83d5d021707b409e93bddecce0 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 12:24:58.701 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:24:58 发起post请求:模拟xendit dana下单回调成功
2024-02-29 12:24:58.701 | DEBUG    | __main__:post_request:53 - 2024-02-29 12:24:58 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180698698&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=f3b18163c8bd136eb9c282739bca5af3
2024-02-29 12:24:58.717 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180698698&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=f3b18163c8bd136eb9c282739bca5af3 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 12:25:51.438 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:25:51 发起post请求:模拟xendit dana下单成功
2024-02-29 12:25:51.439 | DEBUG    | __main__:post_request:53 - 2024-02-29 12:25:51 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180751439&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=5dbdf058a166214b6dbb990684261b10
2024-02-29 12:25:51.446 | ERROR    | __main__:post_request:63 - 请求异常: HTTPSConnectionPool(host='sit.tikipay.co', port=443): Max retries exceeded with url: /pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180751439&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=5dbdf058a166214b6dbb990684261b10 (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')"))))
2024-02-29 12:25:57.811 | DEBUG    | __main__:post_request:52 - 2024-02-29 12:25:57 发起post请求:模拟xendit dana下单成功
2024-02-29 12:25:57.812 | DEBUG    | __main__:post_request:53 - 2024-02-29 12:25:57 请求时的入参: https://sit.tikipay.co/pay/createOrder?amount=10000&currency=IDR&expectPayCodeType=0&merchantId=100119&orderNo=TestOrderNo_1709180757811&payChannel=17&payerName=test&payerPhone=081382826301&productId=2023&subject=TestSubject&version=1.0&sign=e4b28078090602d8f837d7b4b05fac85
